word,coefficient
worst,-7.197250867342501
not,-6.205677678656477
dry,-5.072820178752383
disappointing,-4.915436730246417
rude,-4.812884143826276
mediocre,-4.6300662525236955
poor,-4.586729695643382
terrible,-4.485603565474116
overpriced,-4.149878998429181
tasteless,-4.036874491750303
wasn,-3.5382079999642246
bland,-3.5238804556006333
average,-3.450638833927695
awful,-3.20709094157495
cold,-2.9278506403629208
unfortunately,-2.8369405032960415
no,-2.7573732402935645
horrible,-2.7118666656749433
nothing,-2.653735490568741
slow,-2.504972541396379
